"Playlist read","2023-05-19 00:07:54"
"Playlist read","2023-05-19 01:52:43"
"Playlist read","2023-05-19 01:52:43"
"Playlist read","2023-05-19 01:56:39"
"Playlist read","2023-05-19 01:56:40"
"Playlist read","2023-05-19 01:56:43"
"Playlist read","2023-05-19 02:21:18"
"Playlist read","2023-05-19 02:21:18"
"Playlist read","2023-05-19 02:21:20"
"Playlist read","2023-05-19 02:23:09"
"Playlist read","2023-05-19 02:23:09"
"Playlist read","2023-05-19 02:23:14"
"Playlist deleted","2023-05-19 22:37:37"
"Song added to playlist","2023-05-19 22:50:19"
"New playlist added","2023-05-19 23:08:59"
"New playlist added","2023-05-19 23:34:31"
"Playlist read","2023-05-19 23:34:57"
"New playlist added","2023-05-19 23:35:47"
"Playlist deleted","2023-05-19 23:41:57"
"Playlist deleted","2023-05-19 23:41:57"
"Playlist read","2023-05-24 17:41:11"
